iter	Passed	Remaining
0	0	232
1	0	215
2	0	209
3	0	204
4	1	200
5	1	200
6	1	197
7	1	195
8	1	195
9	1	193
10	2	192
11	2	191
12	2	190
13	2	190
14	2	189
15	3	190
16	3	188
17	3	188
18	3	187
19	3	187
20	4	186
21	4	186
22	4	186
23	4	186
24	4	185
25	4	185
26	5	185
27	5	185
28	5	184
29	5	184
30	5	184
31	6	184
32	6	183
33	6	183
34	6	182
35	6	182
36	6	182
37	7	182
38	7	181
39	7	181
40	7	181
41	7	181
42	8	180
43	8	180
44	8	179
45	8	179
46	8	179
47	9	179
48	9	178
49	9	178
50	9	178
51	9	178
52	10	178
53	10	178
54	10	178
55	10	178
56	10	178
57	10	177
58	11	177
59	11	177
60	11	177
61	11	177
62	11	177
63	12	176
64	12	176
65	12	176
66	12	176
67	12	174
68	12	173
69	13	173
70	13	173
71	13	173
72	13	173
73	13	173
74	14	173
75	14	172
76	14	172
77	14	172
78	14	172
79	14	171
80	15	171
81	15	171
82	15	171
83	15	171
84	15	170
85	16	170
86	16	168
87	16	168
88	16	168
89	16	168
90	16	168
91	17	168
92	17	167
93	17	167
94	17	167
95	17	167
96	17	167
97	18	167
98	18	166
99	18	166
100	18	166
101	18	165
102	18	165
103	19	164
104	19	164
105	19	164
106	19	164
107	19	164
108	20	163
109	20	163
110	20	163
111	20	163
112	20	163
113	20	162
114	21	162
115	21	162
116	21	161
117	21	161
118	21	161
119	21	160
120	22	160
121	22	160
122	22	159
123	22	159
124	22	159
125	22	158
126	23	158
127	23	157
128	23	157
129	23	157
130	23	157
131	23	157
132	24	156
133	24	156
134	24	156
135	24	156
136	24	156
137	24	155
138	25	155
139	25	156
140	25	155
141	25	155
142	25	155
143	26	155
144	26	155
145	26	154
146	26	154
147	26	154
148	27	154
149	27	154
150	27	153
151	27	153
152	27	153
153	27	153
154	28	153
155	28	153
156	28	153
157	28	152
158	28	152
159	29	152
160	29	152
161	29	152
162	29	152
163	29	151
164	29	151
165	30	151
166	30	151
167	30	151
168	30	151
169	30	150
170	31	150
171	31	150
172	31	150
173	31	150
174	31	150
175	32	149
176	32	149
177	32	149
178	32	149
179	32	149
180	32	148
181	33	148
182	33	148
183	33	148
184	33	147
185	33	147
186	33	147
187	34	147
188	34	146
189	34	146
190	34	146
191	34	146
192	35	146
193	35	146
194	35	146
195	35	145
196	35	145
197	35	145
198	36	145
199	36	145
200	36	144
201	36	144
202	36	144
203	37	144
204	37	144
205	37	144
206	37	144
207	37	143
208	37	143
209	38	143
210	38	143
211	38	143
212	38	142
213	38	142
214	39	142
215	39	142
216	39	142
217	39	142
218	39	141
219	39	141
220	40	141
221	40	141
222	40	141
223	40	140
224	40	140
225	41	140
226	41	140
227	41	140
228	41	139
229	41	139
230	41	139
231	42	139
232	42	139
233	42	139
234	42	138
235	42	138
236	43	138
237	43	138
238	43	138
239	43	137
240	43	137
241	43	137
242	44	137
243	44	137
244	44	137
245	44	136
246	44	136
247	44	136
248	45	136
249	45	136
250	45	135
251	45	135
252	45	135
253	46	135
254	46	135
255	46	134
256	46	134
257	46	134
258	46	134
259	47	134
260	47	133
261	47	133
262	47	133
263	47	133
264	48	133
265	48	133
266	48	132
267	48	132
268	48	132
269	48	132
270	49	132
271	49	131
272	49	131
273	49	131
274	49	131
275	50	131
276	50	131
277	50	130
278	50	130
279	50	130
280	50	130
281	51	130
282	51	129
283	51	129
284	51	129
285	51	129
286	52	129
287	52	129
288	52	128
289	52	128
290	52	128
291	52	128
292	53	128
293	53	127
294	53	127
295	53	127
296	53	127
297	53	127
298	54	126
299	54	126
300	54	126
301	54	126
302	54	126
303	55	126
304	55	126
305	55	125
