iter	Passed	Remaining
0	57	57779
1	58	29001
2	58	19406
3	58	14598
4	58	11712
5	59	9792
6	59	8421
7	59	7391
8	59	6587
9	60	5944
10	60	5419
11	60	4981
12	60	4610
13	60	4293
14	61	4019
15	61	3778
16	61	3566
17	61	3376
18	62	3207
19	62	3054
20	62	2915
21	62	2789
22	62	2674
23	63	2569
24	63	2472
25	63	2382
26	63	2299
27	64	2222
28	64	2150
29	64	2083
30	64	2021
31	64	1962
32	65	1906
33	65	1854
34	65	1806
35	65	1760
36	65	1716
37	66	1675
38	66	1635
39	66	1598
40	66	1563
41	67	1529
42	67	1497
43	67	1467
44	67	1437
45	67	1409
46	68	1382
47	68	1356
48	68	1331
49	68	1308
50	69	1284
51	69	1262
52	69	1241
53	69	1220
54	69	1200
55	70	1181
56	70	1162
57	70	1144
58	70	1127
59	70	1110
60	71	1094
61	71	1079
62	71	1064
63	71	1050
64	72	1037
65	72	1022
66	72	1009
67	72	996
68	72	983
69	73	971
70	73	958
71	73	947
72	73	935
73	73	924
74	74	913
75	74	903
76	74	893
77	74	883
78	74	873
79	75	863
80	75	854
81	75	845
82	75	835
83	75	826
84	75	818
85	76	809
86	76	801
87	76	793
88	76	786
89	76	778
90	77	771
91	77	763
92	77	756
93	77	749
94	77	742
95	78	736
96	78	729
97	78	723
98	78	717
99	79	711
100	79	705
101	79	699
102	79	694
103	79	689
104	80	683
105	80	678
106	80	673
107	80	668
108	81	662
109	81	657
110	81	652
111	81	647
112	81	642
113	82	637
114	82	632
115	82	628
116	82	623
117	82	618
118	82	614
119	83	609
120	83	605
121	83	600
122	83	596
123	83	592
124	84	588
125	84	584
126	84	580
127	84	576
128	84	572
129	85	569
130	85	565
131	85	562
132	85	558
133	85	555
134	86	551
135	86	547
136	86	544
137	86	541
138	86	537
139	87	534
140	87	531
141	87	527
142	87	524
143	87	521
144	87	518
145	88	515
146	88	512
147	88	509
148	88	506
149	88	503
150	89	500
151	89	497
152	89	495
153	89	492
154	89	489
155	90	486
156	90	484
